url,domain,title,language_detected,kurdish_dialect_group,status_code,source,category,notes,checked_at
https://zagrosn.com,zagrosn.com,Home - zagros news agency,CKB (Central Kurdish / Sorani),CKB (Sorani),200,crawl,General,,2026-02-12 15:06:50
https://zagrospost.com,zagrospost.com,زاگرۆس پۆست,CKB (Central Kurdish / Sorani),CKB (Sorani),200,variation,General,,2026-02-12 15:17:08
https://zkurd.org,zkurd.org,ZKurd زانستپەروەرانی کورد - بە زانست بەهێزین,CKB (Central Kurdish / Sorani),CKB (Sorani),200,crawl,General,,2026-02-12 15:17:10
https://gorani.me,gorani.me,Welcome to nginx!,HAW (Hawrami / Gorani),HAW (Hawrami/Gorani),200,discovered,General,,2026-02-12 14:58:27
https://gorani.org,gorani.org,Gorani Ensemble,HAW (Hawrami / Gorani),HAW (Hawrami/Gorani),200,discovered,General,,2026-02-12 14:58:34
https://hawrami.net,hawrami.net,Coming Soon,HAW (Hawrami / Gorani),HAW (Hawrami/Gorani),200,discovered,General,,2026-02-12 14:58:35
https://library.uoh.edu.iq,library.uoh.edu.iq,University of Halabja | E-Library,HAW (Hawrami / Gorani),HAW (Hawrami/Gorani),200,crawl,Education,,2026-02-12 15:16:30
https://tqa.uoh.edu.iq,tqa.uoh.edu.iq,UOH,HAW (Hawrami / Gorani),HAW (Hawrami/Gorani),200,crawl,Education,,2026-02-12 15:17:01
https://100berhemenkurdi.com/,100berhemenkurdi.com,100berhemenkurdi.com – 100 Berhemên Kurdî,KMR (Northern Kurdish / Kurmanji) / English,KMR (Kurmanji),200,cultural,Culture & Reference,100 Kurdish works,2026-02-12T14:53:19Z
https://8day.krd,8day.krd,8Day - Trang 8day.com Chính Thức 2026 - Cá Cược Thể Thao #1,KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,common_crawl,General,SSL warning,2026-02-12 15:05:29
https://anfenglish.com/,anfenglish.com,"ANF |
        Articles",KMR (Northern Kurdish / Kurmanji) / English,KMR (Kurmanji),200,known_media,News & Media,ANF English edition,2026-02-12T14:52:50Z
https://avestakurd.net,avestakurd.net,www.avestakurd.net | Hûn li cihê bûyerê ne,KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,discovered,General,,2026-02-12 14:58:27
https://bnk.institutkurde.org,bnk.institutkurde.org,La bibliothèque numérique kurde (BNK) - Institut kurde de Paris,KMR (Northern Kurdish / Kurmanji) / English,KMR (Kurmanji),200,crawl,General,,2026-02-12 15:05:41
https://borgenproject.org/womens-empowerment-in-kurdistan,borgenproject.org,Women's Empowerment in Kurdistan - The Borgen Project,English / KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,ngo,NGO & Human Rights,Borgen Project Kurdistan women,2026-02-12T14:53:27Z
https://c4kurd.com/,c4kurd.com,C4kurd,English / KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,cultural,Culture & Reference,C4Kurd,2026-02-12T14:53:20Z
https://cihanuniversity.edu.iq/,cihanuniversity.edu.iq,Cihan University-Erbil,English / KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,universities,Education,Cihan University Erbil,2026-02-12T14:53:14Z
https://civaka-azad.org/,civaka-azad.org,Civaka Azad - Kurdisches Zentrum für Öffentlichkeitsarbeit,KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,diaspora,Diaspora,Civaka Azad Kurdish centre,2026-02-12T14:53:25Z
https://cmcph.net/,cmcph.net,CMC,KMR (Northern Kurdish / Kurmanji) / English,KMR (Kurmanji),200,health,Health,CMC Private Hospital,2026-02-12T14:53:29Z
https://dckurd.org/,dckurd.org,Washington Kurdish Institute Est. 1996,English / KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,diaspora,Diaspora,DC Kurd,2026-02-12T14:53:27Z
https://deng.com,deng.com,灯网（deng.com）一家专业卖灯的网站,KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,variation,General,,2026-02-12 15:05:41
